PRDKEY;YEAR;MONTH;INDICODECR;COICOP;DESCRIZIONE;MARCA;FORMATO;MERCATO;FAMIGLIA;EAN;TURNOVERCURR;QUANTITYCURR;PRICECURR;COUNTPDVCURR;TURNOVERPREV;QUANTITYPREV;PRICEPREV;COUNTPDVPREV;VTURNOVER;VPRICE
53531620;2020;5;01020304;01.1.8.3.0.00;ERNESTO BRUSA ERNESTO BRUSA NOBIO OVETTI CONFETTATI CIOCCOLATO LATTE.CREMA NOCCIOLA BUS 01 0155.0 GR;ERNESTO BRUSA;155GR;Altri Fuori Pasto Dolci Bocconcini Conf;ALTRI FUORI PASTO DOLCI;8018059001628;70.0;37.0;1.89;5;498.54;175.0;2.85;14;-85.95900028081999;-33.58986619306754
53656132;2020;5;01010503;01.1.1.4.2.00;CIANCIULLO NOBIO CIANCIULLO DELIZIA DEGLI ANGELI FARC AST CIOCC.MANDORLA 1 0600 GR TORTERICORRENZA;CIANCIULLO;600GR;Torte Pronte Altre;TORTE PRONTE;8017377004816;71.98;11.0;6.54;6;367.5;35.0;10.5;13;-80.41360544217687;-37.67965367965368
55539657;2020;5;03060106;01.1.2.7.2.00;DEL ZOPPO DEL ZOPPO NOBIO FAMIGLIA WAGYU BRESAOLA FETTE PUNTA D'ANCA 1 080 GR A.M.;DEL ZOPPO;80GR;Affettati Bresaola;AFFETTATI;8010995001397;84.67;25.0;3.39;6;385.91;79.0;4.88;25;-78.05965121401363;-30.66849783628307
5690269;2020;5;01020304;01.1.8.3.0.00;BURATTI PRESTIGE NOBIO OVETTI CONFETTATI STD PLAS 01 0210.0 GR;PRESTIGE;210GR;Altri Fuori Pasto Dolci Bocconcini Conf;ALTRI FUORI PASTO DOLCI;8013936000657;102.56;52.0;1.97;13;798.79;186.0;4.29;48;-87.16058037782146;-54.07438365913059
5796121;2020;5;03010102;01.1.4.5.2.00;PALAZZO MURGELLA NOBIO STD TRADIZ VACC TAVOLA 1 00250 GR 002 MOZZAR PALLA VASCHETTA;MURGELLA;250GR;Mozzarelle Latte Vaccino;MOZZARELLE;8014745014057;300.11;173.0;1.73;31;9716.02;2841.0;3.42;77;-96.91118379748086;-49.2755674488042
59070070;2020;5;01020501;01.1.8.3.0.00;LINDT LINDOR NOBIO OVE UNI FIORDILATTE LATTE LATTE RIPIENI SAC 1 00180.0 GR;LINDOR;180GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8003340008431;4200.86;2331.0;1.8;222;22614.27;7176.0;3.15;420;-81.42385316881774;-42.81320048881858
59536837;2020;5;01020501;01.1.8.3.0.00;ZAINI ZAINI NOBIO OVE UNI OVETTI RUBY CREMA LATTE LATTE RIPIENI SAC 1 00128.0 GR;ZAINI;128GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8004735100969;615.74;541.0;1.14;94;2594.65;1539.0;1.69;162;-76.26886092536566;-32.491269804321156
7853601;2020;5;01220404;01.1.6.3.0.00;STELLA SUD STELLA SUD NOBIO AMARENE STD SCAT 1 0180 GR;STELLA SUD;180GR;Frutta Ricoperta e Pralinata;FRUTTA ESSICATA DISIDRATATA E RICOPERTA;8000352001016;105.06;108.0;0.97;15;824.04;387.0;2.13;39;-87.25061890199505;-54.31471773214893
8174586;2020;5;02010406;01.2.2.1.0.00;PL PL STD TAVOLA MINERALE NO GAS PLAS 01 150.0 CL NOBIO PL;SIMPLY MARKET;1500ML;Acqua Non Gassata 101-150 CL;ACQUA NON GASSATA;8033209004489;3.98;18.0;0.22;2;16.34;48.0;0.34;6;-75.64259485924113;-35.046919624643
849206;2020;5;01010503;01.1.1.4.2.00;LOISON LOISON NOBIO TONDA SEMPLICE MANDORLATA MANDORLA FOCACCIA 1 00750 TORTE.PRONTE GR;LOISON;750GR;Torte Pronte Altre;TORTE PRONTE;8003475002908;171.18;67.0;2.55;7;3066.55;490.0;6.26;25;-94.41783111314017;-59.17518276774157
9114713;2020;5;01010503;01.1.1.4.2.00;S.ANGELO S.ANGELO NOBIO TONDA SEMPLICE PIZZA DOLCE CLASS TORTA 1 00300 TORTE.PRONTE GR;S.ANGELO;300GR;Torte Pronte Altre;TORTE PRONTE;8003896000712;293.64;343.0;0.86;11;3418.59;1975.0;1.73;50;-91.41049380007547;-50.54147304708179
9180524;2020;5;01020501;01.1.8.3.0.00;CONFETTI CRISPO CRISPO NOBIO OVE UNI FARAONA CREMA NOC LATTE RIPIENI BUS 1 00500.0 GR;CRISPO;500GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8005085704562;353.57;235.0;1.5;33;3282.88;1489.0;2.2;100;-89.22988351691198;-31.758708751838032
10860837;2020;5;01010503;01.1.1.4.2.00;DAL COLLE NOBIO DAL COLLE RAMO DI PRIMAVERA FARC AST CACAO CR.CACAO 1 0750 GR TORTERICORRENZA;DAL COLLE;750GR;Torte Pronte Altre;TORTE PRONTE;8004970122306;1594.05;911.0;1.75;67;11073.45;3421.0;3.24;227;-85.60475732495293;-45.94278244639294
1096291;2020;5;01020501;01.1.8.3.0.00;SORINI SORINI NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 01000.0 GR;SORINI;1000GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8006423241060;83.44;41.0;2.04;6;374.02;82.0;4.56;14;-77.69103256510347;-55.38206513020694
1096480;2020;5;01020501;01.1.8.3.0.00;VENEZIA DOLCERIE VENEZIANE NOBIO OVE UNI STD LATTE.CEREALI LATTE RIPIENI CEST 1 00150.0 GR;DOLCERIE VENEZIANE;150GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8002749560359;267.73;90.0;2.97;23;15330.51;2414.0;6.35;485;-98.25361321965153;-53.158025691542186
1096723;2020;5;01020501;01.1.8.3.0.00;FERRERO NOGGY NOBIO OVE UNI STD NOCCIOLA LATTE RIPIENI SAC 1 00150.0 GR;NOGGY;150GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;0000080052401;1045.47;574.0;1.82;4;6195.54;2044.0;3.03;17;-83.12544185010508;-39.9101100028132
11750490;2020;5;01020205;01.1.8.4.0.00;HARIBO HARIBO BAISER EIER NORM SAC GEL SCART FRUTTA 00175.0 1 GR NOBIO FACE18;HARIBO;175GR;Caramelle Gelee;CARAMELLE;4001686826225;54.03;97.0;0.56;12;338.89;376.0;0.9;22;-84.0567735843489;-38.19945224448647
12722246;2020;5;03080203;01.1.1.8.0.00;BUITONI BUITONI NOBIO 01 ROTOLO 01 PASTA SFOGLIA GRAN SPESSORE 00280.0 STD GR;BUITONI;280GR;Basi Pasta Sfoglia;BASI;7613033263217;82.48;62.0;1.33;2;11453.08;5122.0;2.24;474;-99.27984437374052;-40.505852940305
12927608;2020;5;02080106;01.2.2.3.0.00;PL PL NOBIO NETT MIX NETT NO MIX GIALLO PLAS 01 1000 ML PL;BENNET;1000ML;Nettari Pet >20 CL;NETTARI E SIMILI;8019514035240;69.42;138.0;0.5;11;526.56;646.0;0.82;38;-86.81631722880583;-38.285079201511365
12928805;2020;5;02080106;01.2.2.3.0.00;PL PL NOBIO NETT MIX NETT NO MIX BIANCO PLAS 01 1000 ML PL;BENNET;1000ML;Nettari Pet >20 CL;NETTARI E SIMILI;8019514035257;65.13;132.0;0.49;9;350.3;429.0;0.82;38;-81.40736511561519;-39.573936625749354
13562492;2020;5;03030302;01.1.4.6.0.00;PL PL STD CREMA+PANNA LATTE CACAO PANNA MONTATA FRESCO 04 0100.0 GR PLAS NOBIO DESSERT PL;COOP;100GR;Dessert Freschi Coppa con Panna Mono;DESSERT FRESCHI;8001120789792;32.64;30.0;1.09;17;7889.2;5072.0;1.56;321;-99.58626983724585;-30.052020483699234
14052266;2020;5;01020401;01.1.8.3.0.00;MONSIEUR LE CHOCOLATIER MONSIEUR LE CHOCOLATIER STD FONDENTE S/SORPR 1 01 UOVA CIOCC.INF50 GR 022 GR NOBIO;MONSIEUR LE CHOCOLATIER;22GR;Uova/Sfere di Cioccolato inf 31 gr Singolo;UOVA o SFERE CAVE di CIOCCOLATO < 31 GR;8021436510798;48.97;161.0;0.3;28;502.92;325.0;1.55;45;-90.26286486916408;-80.34429243775358
20795327;2020;5;01020501;01.1.8.3.0.00;VERGANI CHACAO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR;CHACAO;1000GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8002325446305;422.97;465.0;0.91;39;2025.84;687.0;2.95;65;-79.12125340599455;-69.15333567724356
20795336;2020;5;01020501;01.1.8.3.0.00;VERGANI CHACAO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 01000.0 GR;CHACAO;1000GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8002325446404;426.54;417.0;1.02;35;2120.19;709.0;2.99;68;-79.8819917082903;-65.79456144167342
21936473;2020;5;01020501;01.1.8.3.0.00;PERUGINA BACI NOBIO OVE UNI STD NOCCIOLE LATTE RIPIENI SAC 1 00150.0 GR;BACI;150GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8000300328431;2848.34;1958.0;1.45;201;16389.2;6395.0;2.56;525;-82.62062821858297;-43.23744507550464
22200791;2020;5;01020401;01.1.8.3.0.00;MONSIEUR LE CHOCOLATIER MONSIEUR LE CHOCOLATIER STD FONDENTE S/SORPR 1 01 UOVA CIOCC.INF50 GR 022 GR NOBIO AB.PORTAUOVO;MONSIEUR LE CHOCOLATIER;22GR;Uova/Sfere di Cioccolato inf 31 gr Singolo;UOVA o SFERE CAVE di CIOCCOLATO < 31 GR;8021436510828;13.75;25.0;0.55;8;145.18;49.0;2.96;12;-90.52899848463976;-81.43683702989392
22204976;2020;5;01020802;01.1.8.3.0.00;RUBEZAHL FRIEDEL NOBIO PRAL UNI BLATTERKROKANT CIOCC.LATTE CROCCANTE NOCCIOLE BUS 1 00100.0 GR;FRIEDEL;100GR;Praline - Cioccolatini Sacchetto;PRALINE e CIOCCOLATINI;4008601252541;46.84;94.0;0.5;10;170.29;235.0;0.72;16;-72.49398085618651;-31.234952140466262
23823853;2020;5;01020501;01.1.8.3.0.00;CONFETTI CRISPO CRISPO NOBIO OVE UNI FARAONA CREMA NOCCIOLA E CEREALI LATTE RIPIENI SAC 1 01000.0 GR;CRISPO;1000GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8005085704555;75.74;31.0;2.44;9;906.23;242.0;3.74;23;-91.64229831279034;-34.75600618371823
23865322;2020;5;01020501;01.1.8.3.0.00;CARAMELLAMANIA CARAMELLAMANIA NOBIO OVE UNI DOLCEARTE CREMA NOCC LATTE RIPIENI SAC 1 00100.0 GR AB.LANTERNE PASQUALI;CARAMELLAMANIA;100GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8016531155777;69.09;22.0;3.14;11;10341.09;1820.0;5.68;318;-99.33188861135528;-44.72896693939157
23884558;2020;5;01020304;01.1.8.3.0.00;CIDNEO CIDNEO NOBIO OVETTI CONFETTATI CREMA NOCCIOLA SACCHETTO 01 0200.0 GR;CIDNEO;200GR;Altri Fuori Pasto Dolci Bocconcini Conf;ALTRI FUORI PASTO DOLCI;8000038123148;217.11;200.0;1.09;55;1386.15;874.0;1.59;128;-84.33719294448653;-31.553533167406126
24814633;2020;5;01010301;01.1.1.4.2.00;PASTIC.POZZO PASTIC.POZZO SFOGLIA CROISSANT 005 BRIOCHE ALBICOCCA FARC BRIOCHE 1 00350.00 GR NOBIO;PASTIC.POZZO;350GR;Merendine Croissant;MERENDINE;8031956003786;46.28;32.0;1.45;9;626.19;227.0;2.76;46;-92.6092719462144;-47.572022868458454
24814639;2020;5;01010301;01.1.1.4.2.00;PASTIC.POZZO PASTIC.POZZO SFOGLIA CROISSANT 005 BRIOCHE CIOCCOLATO FARC BRIOCHE 1 00350.00 GR NOBIO;PASTIC.POZZO;350GR;Merendine Croissant;MERENDINE;8031956003793;80.86;56.0;1.44;14;730.24;266.0;2.75;46;-88.92692813321648;-47.402908632778264
25018050;2020;5;01020501;01.1.8.3.0.00;RIEGELEIN RIEGELEIN NOBIO OVE UNI STD LATTE LATTE NON RIPIENI SAC 1 00300.0 GR;RIEGELEIN;300GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;4013900976692;198.58;109.0;1.82;25;1150.53;366.0;3.14;51;-82.74012846253466;-42.04483502098793
25234494;2020;5;01010503;01.1.1.4.2.00;MAINA NOBIO MAINA ARIA DI PRIM. TORTA CIOCC. FARC AST CIOCCOLATO 1 0400 GR TORTERICORRENZA;MAINA;400GR;Torte Pronte Altre;TORTE PRONTE;8005190405095;557.68;469.0;1.19;35;4330.38;2531.0;1.71;180;-87.12168447110876;-30.501030695898294
25530651;2020;5;01020501;01.1.8.3.0.00;WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00250.0 GR;WITOR'S;250GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8003535052294;2098.75;1693.0;1.24;226;15095.05;8250.0;1.83;577;-86.0964355865002;-32.24784027680256
26393796;2020;5;01020501;01.1.8.3.0.00;CONFETTI CRISPO CRISPO NOBIO OVE UNI SSC NAPOLI CREMA LATTE LATTE RIPIENI BUS 1 00150.0 GR;CRISPO;150GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8005085714899;75.54;101.0;0.75;15;285.93;256.0;1.12;37;-73.58094638547897;-33.036854204778365
