8174586;40135145
55539657;23795859
44858515;55009479
38466012;44185762
46458158;47723281
53531620;42728812
42640576;42651844
23868507;13655153
5653740;44152964
13484104;13471446
42297250;3749454
55224049;54320026
45179547;54535842
584050;24998265
584049;584096
595242;22334493
13562492;55551411
47978166;47925322
7853601;7146686
4565075;1452887
44228160;44532225
42849212;42849133
36681602;36690046
4596444;3765097
34991932;4496937
40192415;32335285
4435381;40072893
5796121;12044759
668637;1607302
51910118;2313000
25526972;25539292
25517956;25536700
4587188;26732292
1096291;2351135
42592358;12817307
25530651;25529700
42363064;42364103
3933551;25397057
25614971;25601880
26443480;23948202
42716073;23912582
52624229;1096495
20795336;13630982
20795327;13875911
1096502;14070687
49887363;42563358
59799375;49868092
25397108;14069831
59536837;25591502
42651480;25544904
26393796;25558689
36599600;23846785
42592496;59063722
22028578;22144059
42805651;25588501
3743989;4597844
41313386;44109920
42830355;44177958
57307663;21585012
50560687;51598159
5624765;24213521
51598135;50560816
36655282;36616850
33419442;24735317
49961247;42050684
26706354;32282129
2694587;698892
36669724;36663963
24738773;24738770
33796102;33796151
12672271;13230458
42622211;42622066
49901635;8590928
37890229;5453495
38006855;33052529
12264675;14657979
2520904;4556736
41197435;41195893
23913864;9114735
36489607;35059027
3715013;8969735
25234494;25538766
33134052;33219189
10860837;14176321
26416052;9114703
57441915;58131481
49733832;58544224
36610840;5728144
42551381;4270287
8223067;5690520
51586495;25234476
42330648;42330562
36517196;9863054
647767;49971156
42484945;49802732
53656132;47898562
59526290;34588195
23813322;32864164
664015;650619
