"FILE";"ROW";"PRDKEY";"YEAR";"MONTH";"INDICODECR";"COICOP";"DESCRIZIONE";"MARCA";"FORMATO";"MERCATO";"FAMIGLIA";"EAN";"TURNOVERCURR";"QUANTITYCURR";"PRICECURR";"COUNTPDVCURR";"TURNOVERPREV";"QUANTITYPREV";"PRICEPREV";"COUNTPDVPREV";"VTURNOVER";"VPRICE";"DESC";"DESCRIZIONE1";"UNITA";"QUANTITA";"UNITA.QUANTITA";"fm.d";"REGOLA"
"A";"144";"20795327";"2020";"5";"01020501";"01.1.8.3.0.00";"VERGANI CHACAO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR";"CHACAO";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8002325446305";"422.97";"465";"0.91";"39";"2025.84";"687";"2.95";"65";"-79.1212534059946";"-69.1533356772436";"VERGANI  NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR";"VERGANI CHACAO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR";"GR";"1000";"GR|1000";0.999535209839995;"2"
"B";"6256";"13875911";"2020";"5";"01020501";"01.1.8.3.0.00";"VERGANI CHACAO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 00125.0 GR";"CHACAO";"125GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8002325446008";"776.4";"1435";"0.54";"95";"1840.6";"2661";"0.69";"156";"-57.8181027925676";"-21.7797711017578";"VERGANI  NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 00125.0 GR";"VERGANI CHACAO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 00125.0 GR";"GR";"125";"GR|125";0.999535209839995;"2"
"A";"165";"36599600";"2020";"5";"01020501";"01.1.8.3.0.00";"LAICA LAICA NOBIO OVE UNI STD CREMA NOCCIOLA CEREALI LATTE RIPIENI BUS 1 00275.0 GR";"LAICA";"275GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8008743045953";"261.62";"348";"0.75";"60";"1626.49";"1057";"1.54";"112";"-83.9150563483329";"-51.1442947131836";"  NOBIO OVE UNI STD CREMA NOCCIOLA CEREALI LATTE RIPIENI BUS 1 00275.0 GR";"LAICA LAICA NOBIO OVE UNI STD CREMA NOCCIOLA CEREALI LATTE RIPIENI BUS 1 00275.0 GR";"GR";"275";"GR|275";0.870219350201035;"2"
"B";"15454";"23846785";"2020";"5";"01020501";"01.1.8.3.0.00";"LAICA LAICA NOBIO OVE UNI STD CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00120.0 GR";"LAICA";"120GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8008743038498";"434.97";"927";"0.47";"52";"1244.62";"1638";"0.76";"67";"-65.0519837380084";"-38.2471945661896";"  NOBIO OVE UNI STD CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00120.0 GR";"LAICA LAICA NOBIO OVE UNI STD CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00120.0 GR";"GR";"120";"GR|120";0.870219350201035;"2"
"A";"104";"42592496";"2020";"5";"01020501";"01.1.8.3.0.00";"ZAINI ZAINI NOBIO OVE UNI STD CREMA GIANDUIA LATTE RIPIENI SAC 1 00500.0 GR S/OLIO DI PALMA";"ZAINI";"500GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8004735098600";"740.09";"528";"1.4";"59";"3571.79";"1286";"2.78";"116";"-79.279576906817";"-49.5332119359218";"  NOBIO OVE UNI STD CREMA GIANDUIA LATTE RIPIENI SAC 1 00500.0 GR S/OLIO DI PALMA";"ZAINI ZAINI NOBIO OVE UNI STD CREMA GIANDUIA LATTE RIPIENI SAC 1 00500.0 GR S/OLIO DI PALMA";"GR";"500";"GR|500";0.84675785931649;"2"
"B";"158813";"59063722";"2020";"5";"01020501";"01.1.8.3.0.00";"ZAINI ZAINI NOBIO OVE UNI STD CREMA GIANDUIA LATTE RIPIENI SAC 1 00155.0 GR";"ZAINI";"155GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8004735100839";"1519.85";"1162";"1.31";"159";"4765.13";"2855";"1.67";"274";"-68.1047526510295";"-21.634310515223";"  NOBIO OVE UNI STD CREMA GIANDUIA LATTE RIPIENI SAC 1 00155.0 GR";"ZAINI ZAINI NOBIO OVE UNI STD CREMA GIANDUIA LATTE RIPIENI SAC 1 00155.0 GR";"GR";"155";"GR|155";0.84675785931649;"2"
"A";"51";"57307663";"2020";"5";"03100107";"01.1.1.6.2.00";"PICCININI PICCININI NOBIO GIALLI TORTELLINI T.INI FRESCA PROSCIUTTO CRUDO 2 0500 GR";"PICCININI";"500GR";"Pasta Fresca Ripena Prosciutto Crudo";"PASTA FRESCA RIPIENA";"8021018005803";"86.56";"16";"5.41";"2";"3214.94";"370";"8.69";"33";"-97.3075702812494";"-37.7375627538928";"  NOBIO GIALLI TORTELLINI T.INI FRESCA PROSCIUTTO CRUDO 2 0500 GR";"PICCININI PICCININI NOBIO GIALLI TORTELLINI T.INI FRESCA PROSCIUTTO CRUDO 2 0500 GR";"GR";"500";"GR|500";0.99999996484682;"2"
"B";"66075";"21585012";"2020";"5";"03100107";"01.1.1.6.2.00";"PICCININI PICCININI NOBIO GIALLI TORTELLINI T.INI FRESCA PROSCIUTTO CRUDO 1 0250 GR";"PICCININI";"250GR";"Pasta Fresca Ripena Prosciutto Crudo";"PASTA FRESCA RIPIENA";"8021018003526";"4580.53";"1004";"4.56";"49";"6596.32";"1453";"4.54";"61";"-30.5593118587334";"0.495338515199638";"  NOBIO GIALLI TORTELLINI T.INI FRESCA PROSCIUTTO CRUDO 1 0250 GR";"PICCININI PICCININI NOBIO GIALLI TORTELLINI T.INI FRESCA PROSCIUTTO CRUDO 1 0250 GR";"GR";"250";"GR|250";0.99999996484682;"2"
"A";"195";"5624765";"2020";"5";"01010105";"01.1.1.4.2.00";"PRETI PRETI ALTRE VARIETA' PRETI UNITIPO PASTIC CANESTRELLINI 01 01 PASTIC 00280.00 GR NOBIO NON PORZ.";"PRETI";"280GR";"Pasticceria Altra Unitipo";"PASTICCERIA";"8001813000340";"607.33";"296";"2.05";"25";"5590.02";"899";"6.22";"59";"-89.1354592649042";"-67.0026279700977";"  ALTRE VARIETA'  UNITIPO PASTIC CANESTRELLINI 01 01 PASTIC 00280.00 GR NOBIO NON PORZ.";"PRETI PRETI ALTRE VARIETA' PRETI UNITIPO PASTIC CANESTRELLINI 01 01 PASTIC 00280.00 GR NOBIO NON PORZ.";"GR";"280";"GR|280";0.999999999997043;"2"
"B";"71797";"24213521";"2020";"5";"01010105";"01.1.1.4.2.00";"PRETI PRETI ALTRE VARIETA' PRETI UNITIPO PASTIC CANESTRELLINI 01 01 PASTIC 00125.00 GR NOBIO NON PORZ.";"PRETI";"125GR";"Pasticceria Altra Unitipo";"PASTICCERIA";"8001813203888";"474.7";"449";"1.06";"33";"332.41";"310";"1.07";"37";"42.805571432869";"-1.40372573677193";"  ALTRE VARIETA'  UNITIPO PASTIC CANESTRELLINI 01 01 PASTIC 00125.00 GR NOBIO NON PORZ.";"PRETI PRETI ALTRE VARIETA' PRETI UNITIPO PASTIC CANESTRELLINI 01 01 PASTIC 00125.00 GR NOBIO NON PORZ.";"GR";"125";"GR|125";0.999999999997043;"2"
