B;25588501;2020;5;01020501;01.1.8.3.0.00;GR;110
A;3743989;2020;5;01020501;01.1.8.3.0.00;GR;1000
B;4597844;2020;5;01020501;01.1.8.3.0.00;GR;1000
A;41313386;2020;5;03100203;01.1.1.6.1.02;GR;400
B;44109920;2020;5;03100203;01.1.1.6.1.02;GR;400
A;42830355;2020;5;03100203;01.1.1.6.1.02;GR;400
B;44177958;2020;5;03100203;01.1.1.6.1.02;GR;400
A;50560687;2020;5;01010105;01.1.1.4.2.00;GR;127
B;51598159;2020;5;01010105;01.1.1.4.2.00;GR;127
A;36655282;2020;5;01010102;01.1.1.4.2.00;GR;150
B;36616850;2020;5;01010102;01.1.1.4.2.00;GR;150
A;33419442;2020;5;01010103;01.1.1.4.2.00;GR;120
B;24735317;2020;5;01010103;01.1.1.4.2.00;GR;120
A;49961247;2020;5;01020801;01.1.8.3.0.00;GR;45
B;42050684;2020;5;01020801;01.1.8.3.0.00;GR;45
A;36669724;2020;5;03091301;01.1.9.4.0.00;GR;290
B;36663963;2020;5;03091301;01.1.9.4.0.00;GR;230
A;24738773;2020;5;03090801;01.1.9.4.0.00;GR;140
B;24738770;2020;5;03090801;01.1.9.4.0.00;GR;140
A;33796102;2020;5;01180702;01.1.4.6.0.00;ML;1000
B;33796151;2020;5;01180702;01.1.4.6.0.00;ML;1000
A;12672271;2020;5;01090101;01.1.9.1.0.00;GR;500
B;13230458;2020;5;01090101;01.1.9.1.0.00;GR;500
A;42622211;2020;5;03091103;01.1.9.1.0.00;GR;100
B;42622066;2020;5;03091103;01.1.9.1.0.00;GR;100
A;49901635;2020;5;04020201;01.1.9.4.0.00;GR;365
B;8590928;2020;5;04020201;01.1.9.4.0.00;GR;365
A;37890229;2020;5;04020201;01.1.9.4.0.00;GR;340
B;5453495;2020;5;04020201;01.1.9.4.0.00;GR;340
A;38006855;2020;5;04020201;01.1.9.4.0.00;GR;330
B;33052529;2020;5;04020201;01.1.9.4.0.00;GR;330
A;12264675;2020;5;04021107;01.1.7.2.0.00;GR;450
B;14657979;2020;5;04021107;01.1.7.2.0.00;GR;450
A;41197435;2020;5;01010503;01.1.1.4.2.00;GR;400
B;41195893;2020;5;01010503;01.1.1.4.2.00;GR;400
A;23913864;2020;5;01010503;01.1.1.4.2.00;GR;600
B;9114735;2020;5;01010503;01.1.1.4.2.00;GR;500
A;36489607;2020;5;01010503;01.1.1.4.2.00;GR;300
B;35059027;2020;5;01010503;01.1.1.4.2.00;GR;300
A;3715013;2020;5;01010503;01.1.1.4.2.00;GR;750
B;8969735;2020;5;01010503;01.1.1.4.2.00;GR;750
A;25234494;2020;5;01010503;01.1.1.4.2.00;GR;400
B;25538766;2020;5;01010503;01.1.1.4.2.00;GR;400
A;33134052;2020;5;01010503;01.1.1.4.2.00;GR;400
B;33219189;2020;5;01010503;01.1.1.4.2.00;GR;400
A;10860837;2020;5;01010503;01.1.1.4.2.00;GR;750
B;14176321;2020;5;01010503;01.1.1.4.2.00;GR;750
A;57441915;2020;5;01010503;01.1.1.4.2.00;GR;400
B;58131481;2020;5;01010503;01.1.1.4.2.00;GR;400
