"FILE";"ROW";"PRDKEY";"YEAR";"MONTH";"INDICODECR";"COICOP";"DESCRIZIONE";"MARCA";"FORMATO";"MERCATO";"FAMIGLIA";"EAN";"TURNOVERCURR";"QUANTITYCURR";"PRICECURR";"COUNTPDVCURR";"TURNOVERPREV";"QUANTITYPREV";"PRICEPREV";"COUNTPDVPREV";"VTURNOVER";"VPRICE";"DESC";"DESCRIZIONE1";"UNITA";"QUANTITA";"UNITA.QUANTITA";"fm.d"
"A";"122";"53531620";"2020";"5";"01020304";"01.1.8.3.0.00";"ERNESTO BRUSA ERNESTO BRUSA NOBIO OVETTI CONFETTATI CIOCCOLATO LATTE.CREMA NOCCIOLA BUS 01 0155.0 GR";"ERNESTO BRUSA";"155GR";"Altri Fuori Pasto Dolci Bocconcini Conf";"ALTRI FUORI PASTO DOLCI";"8018059001628";"70";"37";"1.89";"5";"498.54";"175";"2.85";"14";"-85.95900028082";"-33.5898661930675";"  NOBIO OVETTI CONFETTATI CIOCCOLATO LATTE.CREMA NOCCIOLA BUS 01 0155.0 GR";"ERNESTO BRUSA ERNESTO BRUSA NOBIO OVETTI CONFETTATI CIOCCOLATO LATTE.CREMA NOCCIOLA BUS 01 0155.0 GR";"GR";"155";"GR|155";0.999999965593371
"B";"87224";"42728812";"2020";"5";"01020304";"01.1.8.3.0.00";"ERNESTO BRUSA ERNESTO BRUSA NOBIO OVETTI CONFETTATI CIOCC.LATTE CREMA CAPPUCCINO BUS 01 0155.0 GR";"ERNESTO BRUSA";"155GR";"Altri Fuori Pasto Dolci Bocconcini Conf";"ALTRI FUORI PASTO DOLCI";"8018059005916";"68.99";"35";"1.97";"8";"588.98";"210";"2.8";"14";"-88.2865292539645";"-29.7191755237869";"  NOBIO OVETTI CONFETTATI CIOCC.LATTE CREMA CAPPUCCINO BUS 01 0155.0 GR";"ERNESTO BRUSA ERNESTO BRUSA NOBIO OVETTI CONFETTATI CIOCC.LATTE CREMA CAPPUCCINO BUS 01 0155.0 GR";"GR";"155";"GR|155";0.999999965593371
"A";"32";"42640576";"2020";"5";"01020304";"01.1.8.3.0.00";"CARAMELLAMANIA MANIA NOBIO OVETTI CONFETTATI QUAGLIA CREMA NOCCIOLA SACCHETTO 01 0150.0 GR";"MANIA";"150GR";"Altri Fuori Pasto Dolci Bocconcini Conf";"ALTRI FUORI PASTO DOLCI";"8016531005461";"81.98";"60";"1.37";"16";"2409.53";"1221";"1.97";"125";"-96.5976767253365";"-30.7627213605973";"CARAMELLA  NOBIO OVETTI CONFETTATI QUAGLIA CREMA NOCCIOLA SACCHETTO 01 0150.0 GR";"CARAMELLAMANIA MANIA NOBIO OVETTI CONFETTATI QUAGLIA CREMA NOCCIOLA SACCHETTO 01 0150.0 GR";"GR";"150";"GR|150";0.996370044692414
"B";"87007";"42651844";"2020";"5";"01020304";"01.1.8.3.0.00";"CARAMELLAMANIA MANIA NOBIO OVETTI CONFETTATI CIOCC.FONDENTE SCATOLA 01 0150.0 GR";"MANIA";"150GR";"Altri Fuori Pasto Dolci Bocconcini Conf";"ALTRI FUORI PASTO DOLCI";"8016531163093";"283.43";"208";"1.36";"7";"658.55";"303";"2.17";"14";"-56.9615063396857";"-37.3045020236767";"CARAMELLA  NOBIO OVETTI CONFETTATI CIOCC.FONDENTE SCATOLA 01 0150.0 GR";"CARAMELLAMANIA MANIA NOBIO OVETTI CONFETTATI CIOCC.FONDENTE SCATOLA 01 0150.0 GR";"GR";"150";"GR|150";0.996370044692414
"A";"50";"5653740";"2020";"5";"01020304";"01.1.8.3.0.00";"CONFETTI CRISPO CRISPO NOBIO OVETTI CONFETTATI TORTORA SACCHETTO 01 0500.0 GR";"CRISPO";"500GR";"Altri Fuori Pasto Dolci Bocconcini Conf";"ALTRI FUORI PASTO DOLCI";"8005085701707";"767.23";"481";"1.6";"71";"7992.9";"2861";"2.79";"193";"-90.4011059815586";"-42.9055389048633";"CONFETTI   NOBIO OVETTI CONFETTATI TORTORA SACCHETTO 01 0500.0 GR";"CONFETTI CRISPO CRISPO NOBIO OVETTI CONFETTATI TORTORA SACCHETTO 01 0500.0 GR";"GR";"500";"GR|500";0.774351491508363
"B";"32606";"44152964";"2020";"5";"01020304";"01.1.8.3.0.00";"CONFETTI CRISPO CRISPO NOBIO OVETTI CONFETTATI UOVO DI TORTORA CIOCC.FOND.CR.NOCCIOLA.CER. BUS 01 0450.0 GR";"CRISPO";"450GR";"Altri Fuori Pasto Dolci Bocconcini Conf";"ALTRI FUORI PASTO DOLCI";"8005085718101";"284.23";"150";"1.89";"26";"3360.14";"1368";"2.46";"136";"-91.5411262625962";"-22.8550715148774";"CONFETTI   NOBIO OVETTI CONFETTATI UOVO DI TORTORA CIOCC.FOND.CR.NOCCIOLA.CER. BUS 01 0450.0 GR";"CONFETTI CRISPO CRISPO NOBIO OVETTI CONFETTATI UOVO DI TORTORA CIOCC.FOND.CR.NOCCIOLA.CER. BUS 01 0450.0 GR";"GR";"450";"GR|450";0.774351491508363
"A";"29";"42297250";"2020";"5";"03080205";"01.1.1.8.0.00";"BUITONI BUITONI NOBIO 01 ROTOLO 01 PASTA BRISEE LA BRISEE LEGGERA 00230.0 STD GR -30% DI GRASSI";"BUITONI";"230GR";"Basi Pasta Brisee";"BASI";"7613036294430";"21.63";"17";"1.27";"2";"5411.69";"2888";"1.87";"719";"-99.6003096999274";"-32.0996713758983";"  NOBIO 01 ROTOLO 01 PASTA BRISEE LA BRISEE LEGGERA 00230.0 STD GR -30% DI GRASSI";"BUITONI BUITONI NOBIO 01 ROTOLO 01 PASTA BRISEE LA BRISEE LEGGERA 00230.0 STD GR -30% DI GRASSI";"GR";"230";"GR|230";0.999884152011023
"B";"25663";"3749454";"2020";"5";"03080205";"01.1.1.8.0.00";"BUITONI BUITONI NOBIO 01 ROTOLO 01 PASTA BRISEE STD 00230.0 STD GR";"BUITONI";"230GR";"Basi Pasta Brisee";"BASI";"8000300155877";"181462.66";"124626";"1.46";"1925";"246506.98";"185171";"1.33";"2407";"-26.3864009043476";"9.37608330638107";"  NOBIO 01 ROTOLO 01 PASTA BRISEE STD 00230.0 STD GR";"BUITONI BUITONI NOBIO 01 ROTOLO 01 PASTA BRISEE STD 00230.0 STD GR";"GR";"230";"GR|230";0.999884152011023
"A";"53";"584050";"2020";"5";"01020203";"01.1.8.4.0.00";"CIDNEO CIDNEO GALLINELLE NORM SAC DUR SCART STD 1 00150.0 GR NOBIO";"CIDNEO";"150GR";"Caramelle Dure e Ripiene";"CARAMELLE";"8000038015832";"19.38";"16";"1.21";"8";"81.37";"35";"2.32";"16";"-76.1828683790095";"-47.9000245790832";"  GALLINELLE NORM SAC DUR SCART STD 1 00150.0 GR NOBIO";"CIDNEO CIDNEO GALLINELLE NORM SAC DUR SCART STD 1 00150.0 GR NOBIO";"GR";"150";"GR|150";0.999999999999935
"B";"130146";"24998265";"2020";"5";"01020203";"01.1.8.4.0.00";"CIDNEO CIDNEO ANICETTE NORM SAC DUR SCART STD 1 00150.0 GR NOBIO";"CIDNEO";"150GR";"Caramelle Dure e Ripiene";"CARAMELLE";"8000038500024";"393.15";"304";"1.29";"72";"295.35";"233";"1.27";"105";"33.1132554596242";"2.02430434898827";"  ANICETTE NORM SAC DUR SCART STD 1 00150.0 GR NOBIO";"CIDNEO CIDNEO ANICETTE NORM SAC DUR SCART STD 1 00150.0 GR NOBIO";"GR";"150";"GR|150";0.999999999999935
