"FILE";"ROW";"PRDKEY";"YEAR";"MONTH";"INDICODECR";"COICOP";"DESCRIZIONE";"MARCA";"FORMATO";"MERCATO";"FAMIGLIA";"EAN";"TURNOVERCURR";"QUANTITYCURR";"PRICECURR";"COUNTPDVCURR";"TURNOVERPREV";"QUANTITYPREV";"PRICEPREV";"COUNTPDVPREV";"VTURNOVER";"VPRICE";"DESC";"DESCRIZIONE1";"UNITA";"QUANTITA";"UNITA.QUANTITA";"fm.d"
"A";"38";"4596444";"2020";"5";"01170405";"01.1.9.9.0.00";"LA FENICE LA FENICE STD DECORAZIONI ZUCCHERO PECORELLA E AGNELLIN 01 001 DECOR 00300.0 GR NOBIO";"LA FENICE";"300GR";"Ingredienti per Pasticceria Decorazioni";"INGREDIENTI PER PASTICCERIA";"8026841100732";"164.07";"118";"1.39";"28";"3093.5";"1510";"2.05";"104";"-94.6962986908033";"-32.130601890788";"  STD DECORAZIONI ZUCCHERO PECORELLA E AGNELLIN 01 001 DECOR 00300.0 GR NOBIO";"LA FENICE LA FENICE STD DECORAZIONI ZUCCHERO PECORELLA E AGNELLIN 01 001 DECOR 00300.0 GR NOBIO";"GR";"300";"GR|300";0.999992248574939
"B";"81253";"3765097";"2020";"5";"01170405";"01.1.9.9.0.00";"LA FENICE LA FENICE STD DECORAZIONI MARZAPANE MAR.FRUTTA MARTORANA 01 001 DECOR 00250.0 GR NOBIO";"LA FENICE";"250GR";"Ingredienti per Pasticceria Decorazioni";"INGREDIENTI PER PASTICCERIA";"8026841104112";"15";"15";"1";"1";"40.54";"13";"3.12";"120";"-62.9995066600888";"-67.932905772077";"  STD DECORAZIONI MARZAPANE MAR.FRUTTA MARTORANA 01 001 DECOR 00250.0 GR NOBIO";"LA FENICE LA FENICE STD DECORAZIONI MARZAPANE MAR.FRUTTA MARTORANA 01 001 DECOR 00250.0 GR NOBIO";"GR";"250";"GR|250";0.999992248574939
"A";"20";"34991932";"2020";"5";"01180209";"01.1.4.3.0.00";"LACTALIS ZYMIL NOBIO ALTA DIGERIBILITA' STD PLAS P.S. 06 BOTT 1000 ML";"ZYMIL";"1000ML";"Latte Uht Alta Digeribilita/Delattosato";"LATTE UHT";"8002580017852";"788.18";"459";"1.72";"19";"12201.77";"2994";"4.08";"288";"-93.5404453616156";"-57.8651272607342";"LACTALIS  NOBIO ALTA DIGERIBILITA' STD PLAS P.S. 06 BOTT 1000 ML";"LACTALIS ZYMIL NOBIO ALTA DIGERIBILITA' STD PLAS P.S. 06 BOTT 1000 ML";"ML";"1000";"ML|1000";0.982842793343343
"B";"90330";"4496937";"2020";"5";"01180209";"01.1.4.3.0.00";"LACTALIS ZYMIL NOBIO ALTA DIGERIBILITA' STD PLAS P.S. 06 BOTT 1000 ML";"ZYMIL";"1000ML";"Latte Uht Alta Digeribilita/Delattosato";"LATTE UHT";"8002580010648";"13987.74";"1554";"9";"64";"8959.37";"1189";"7.54";"83";"56.1241471219517";"19.4540610862294";"LACTALIS  NOBIO ALTA DIGERIBILITA' STD PLAS P.S. 06 BOTT 1000 ML";"LACTALIS ZYMIL NOBIO ALTA DIGERIBILITA' STD PLAS P.S. 06 BOTT 1000 ML";"ML";"1000";"ML|1000";0.982842793343343
"A";"27";"40192415";"2020";"5";"03010101";"01.1.4.5.2.00";"BARLOTTI BARLOTTI NOBIO CAMPANA DOP TRADIZ BUF TAVOLA 1 00250 GR 001 MOZZAR PALLA BUSTA FACE17";"BARLOTTI";"250GR";"Mozzarelle Bufala";"MOZZARELLE";"8033140802519";"137.26";"32";"4.29";"1";"881.21";"74";"11.91";"1";"-84.4236901533119";"-63.9797834795338";"  NOBIO CAMPANA DOP TRADIZ BUF TAVOLA 1 00250 GR 001 MOZZAR PALLA BUSTA FACE17";"BARLOTTI BARLOTTI NOBIO CAMPANA DOP TRADIZ BUF TAVOLA 1 00250 GR 001 MOZZAR PALLA BUSTA FACE17";"GR";"250";"GR|250";1
"B";"21891";"32335285";"2020";"5";"03010101";"01.1.4.5.2.00";"BARLOTTI BARLOTTI NOBIO CAMPANA DOP TRADIZ BUF TAVOLA 1 00250 GR 001 MOZZAR PALLA BUSTA";"BARLOTTI";"250GR";"Mozzarelle Bufala";"MOZZARELLE";"8033140802502";"3927.61";"1117";"3.52";"8";"2782.91";"793";"3.51";"8";"41.1332022954389";"0.195729113950826";"  NOBIO CAMPANA DOP TRADIZ BUF TAVOLA 1 00250 GR 001 MOZZAR PALLA BUSTA";"BARLOTTI BARLOTTI NOBIO CAMPANA DOP TRADIZ BUF TAVOLA 1 00250 GR 001 MOZZAR PALLA BUSTA";"GR";"250";"GR|250";1
"A";"110";"4435381";"2020";"5";"03010101";"01.1.4.5.2.00";"LA BARONIA LA BARONIA NOBIO BUF DOP 1 00250 GR TRADIZ TAVOLA 001 MOZZAR PALLA BUSTA";"LA BARONIA";"250GR";"Mozzarelle Bufala";"MOZZARELLE";"8030514000014";"66.74";"43";"1.55";"1";"349.86";"90";"3.89";"7";"-80.9237980906648";"-60.073065771159";"  NOBIO BUF DOP 1 00250 GR TRADIZ TAVOLA 001 MOZZAR PALLA BUSTA";"LA BARONIA LA BARONIA NOBIO BUF DOP 1 00250 GR TRADIZ TAVOLA 001 MOZZAR PALLA BUSTA";"GR";"250";"GR|250";1
"B";"138860";"40072893";"2020";"5";"03010101";"01.1.4.5.2.00";"LA BARONIA LA BARONIA NOBIO CAMPANA DOP TRADIZ BUF TAVOLA 1 00250 GR 001 MOZZAR PALLA BUSTA";"LA BARONIA";"250GR";"Mozzarelle Bufala";"MOZZARELLE";"8030514000045";"7660.27";"1253";"6.11";"9";"7028.18";"1141";"6.16";"10";"8.99365127244891";"-0.748798003300709";"  NOBIO CAMPANA DOP TRADIZ BUF TAVOLA 1 00250 GR 001 MOZZAR PALLA BUSTA";"LA BARONIA LA BARONIA NOBIO CAMPANA DOP TRADIZ BUF TAVOLA 1 00250 GR 001 MOZZAR PALLA BUSTA";"GR";"250";"GR|250";1
"A";"126";"5796121";"2020";"5";"03010102";"01.1.4.5.2.00";"PALAZZO MURGELLA NOBIO STD TRADIZ VACC TAVOLA 1 00250 GR 002 MOZZAR PALLA VASCHETTA";"MURGELLA";"250GR";"Mozzarelle Latte Vaccino";"MOZZARELLE";"8014745014057";"300.11";"173";"1.73";"31";"9716.02";"2841";"3.42";"77";"-96.9111837974809";"-49.2755674488042";"PALAZZO  NOBIO STD TRADIZ VACC TAVOLA 1 00250 GR 002 MOZZAR PALLA VASCHETTA";"PALAZZO MURGELLA NOBIO STD TRADIZ VACC TAVOLA 1 00250 GR 002 MOZZAR PALLA VASCHETTA";"GR";"250";"GR|250";0.999999999997617
"B";"3452";"12044759";"2020";"5";"03010102";"01.1.4.5.2.00";"PALAZZO MURGELLA NOBIO STD TRADIZ VACC TAVOLA 1 00200 GR 002 MOZZAR BOCC VASCHETTA";"MURGELLA";"200GR";"Mozzarelle Latte Vaccino";"MOZZARELLE";"8014745041022";"435.06";"192";"2.27";"16";"597.13";"261";"2.29";"34";"-27.1414934771323";"-0.957967695476697";"PALAZZO  NOBIO STD TRADIZ VACC TAVOLA 1 00200 GR 002 MOZZAR BOCC VASCHETTA";"PALAZZO MURGELLA NOBIO STD TRADIZ VACC TAVOLA 1 00200 GR 002 MOZZAR BOCC VASCHETTA";"GR";"200";"GR|200";0.999999999997617
"A";"205";"668637";"2020";"5";"07020101";"09.3.4.2.1.00";"PL PL NOBIO STD SALMONE PATE' VASC 01 00100 GR PL";"AUCHAN";"100GR";"Nutrizione Gatto Umido";"NUTRIZIONE GATTO";"8005476018827";"3.68";"16";"0.23";"1";"12.99";"37";"0.35";"47";"-71.6705157813703";"-34.4880677444188";"PL PL NOBIO STD SALMONE PATE' VASC 01 00100 GR PL";"PL PL NOBIO STD SALMONE PATE' VASC 01 00100 GR PL";"GR";"100";"GR|100";0.999612772734899
"B";"7970";"1607302";"2020";"5";"07020101";"09.3.4.2.1.00";"PL PL NOBIO STD SALMONE PATE' VASC 01 00100 GR PL";"AUCHAN";"100GR";"Nutrizione Gatto Umido";"NUTRIZIONE GATTO";"8005476025504";"8.27";"22";"0.38";"4";"26.65";"83";"0.32";"98";"-68.968105065666";"17.074876343169";"PL PL NOBIO STD SALMONE PATE' VASC 01 00100 GR PL";"PL PL NOBIO STD SALMONE PATE' VASC 01 00100 GR PL";"GR";"100";"GR|100";0.999612772734899
"A";"187";"51910118";"2020";"5";"01020501";"01.1.8.3.0.00";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 00500.0 GR FACE19";"CRISPO";"500GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8005085720227";"818.26";"601";"1.36";"59";"3879.26";"1869";"2.08";"138";"-78.9068018127169";"-34.4040142894639";"CONFETTI   NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 00500.0 GR FACE19";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 00500.0 GR FACE19";"GR";"500";"GR|500";0.999999999961607
"B";"13799";"2313000";"2020";"5";"01020501";"01.1.8.3.0.00";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 00500.0 GR";"CRISPO";"500GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8032154100925";"445.33";"245";"1.82";"35";"5546.68";"2308";"2.4";"106";"-91.9712332422278";"-24.3657400941295";"CONFETTI   NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 00500.0 GR";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 00500.0 GR";"GR";"500";"GR|500";0.999999999961607
"A";"77";"25526972";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MINI OVETTI CER.NOC LATTE RIPIENI SAC 1 00125.0 GR";"WITOR'S";"125GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535052218";"891.15";"1639";"0.54";"85";"3319.8";"3728";"0.89";"200";"-73.1565154527381";"-38.9429466795654";"  NOBIO OVE UNI MINI OVETTI CER.NOC LATTE RIPIENI SAC 1 00125.0 GR";"WITOR'S WITOR'S NOBIO OVE UNI MINI OVETTI CER.NOC LATTE RIPIENI SAC 1 00125.0 GR";"GR";"125";"GR|125";0.999999999928839
"B";"74627";"25539292";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MINI OVETTI CER.NOC LATTE RIPIENI SAC 1 00125.0 GR FACE16";"WITOR'S";"125GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535052133";"2913.54";"4434";"0.66";"317";"14052.14";"16953";"0.83";"683";"-79.2662185261462";"-20.7262522944872";"  NOBIO OVE UNI MINI OVETTI CER.NOC LATTE RIPIENI SAC 1 00125.0 GR FACE16";"WITOR'S WITOR'S NOBIO OVE UNI MINI OVETTI CER.NOC LATTE RIPIENI SAC 1 00125.0 GR FACE16";"GR";"125";"GR|125";0.999999999928839
"A";"14";"25517956";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA LATTE LATTE RIPIENI SAC 1 00125.0 GR";"WITOR'S";"125GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535052256";"736.73";"1357";"0.54";"69";"2965.22";"3287";"0.9";"169";"-75.1542887205671";"-39.8173522656625";"  NOBIO OVE UNI MAXI OVETTI CREMA LATTE LATTE RIPIENI SAC 1 00125.0 GR";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA LATTE LATTE RIPIENI SAC 1 00125.0 GR";"GR";"125";"GR|125";0.999999999831447
"B";"74599";"25536700";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MINI OVETTI CREMA LATTE LATTE RIPIENI SAC 1 00125.0 GR";"WITOR'S";"125GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535052171";"2694.47";"4366";"0.62";"289";"13826.92";"17190";"0.8";"661";"-80.5128690988304";"-23.274443382706";"  NOBIO OVE UNI MINI OVETTI CREMA LATTE LATTE RIPIENI SAC 1 00125.0 GR";"WITOR'S WITOR'S NOBIO OVE UNI MINI OVETTI CREMA LATTE LATTE RIPIENI SAC 1 00125.0 GR";"GR";"125";"GR|125";0.999999999831447
"A";"180";"4587188";"2020";"5";"01020501";"01.1.8.3.0.00";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 01000.0 GR";"CRISPO";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8032154100918";"405.77";"131";"3.1";"28";"4373.45";"895";"4.89";"109";"-90.721970069396";"-36.6119329168659";"CONFETTI   NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 01000.0 GR";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 01000.0 GR";"GR";"1000";"GR|1000";0.999999999795449
"B";"20951";"26732292";"2020";"5";"01020501";"01.1.8.3.0.00";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR";"CRISPO";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8005085707358";"136.7";"35";"3.91";"8";"1047.89";"250";"4.19";"25";"-86.9547376155894";"-6.8195543970673";"CONFETTI   NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR";"GR";"1000";"GR|1000";0.999999999795449
"A";"135";"1096291";"2020";"5";"01020501";"01.1.8.3.0.00";"SORINI SORINI NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 01000.0 GR";"SORINI";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8006423241060";"83.44";"41";"2.04";"6";"374.02";"82";"4.56";"14";"-77.6910325651035";"-55.3820651302069";"  NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 01000.0 GR";"SORINI SORINI NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI SAC 1 01000.0 GR";"GR";"1000";"GR|1000";0.999999979733199
"B";"125178";"2351135";"2020";"5";"01020501";"01.1.8.3.0.00";"SORINI SORINI NOBIO OVE UNI STD CREMA NOC.CAFFE' LATTE RIPIENI SAC 1 01000.0 GR";"SORINI";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8006423241282";"480.9";"802";"0.6";"98";"1617.82";"2007";"0.81";"215";"-70.2748142562213";"-25.612907995307";"  NOBIO OVE UNI STD CREMA NOC.CAFFE' LATTE RIPIENI SAC 1 01000.0 GR";"SORINI SORINI NOBIO OVE UNI STD CREMA NOC.CAFFE' LATTE RIPIENI SAC 1 01000.0 GR";"GR";"1000";"GR|1000";0.999999979733199
"A";"103";"42592358";"2020";"5";"01020501";"01.1.8.3.0.00";"VENEZIA DOLCERIE VENEZIANE NOBIO OVE UNI BOUQUET PASQUALE LATTE LATTE NON RIPIENI BOUQUET 1 00120.0 GR";"DOLCERIE VENEZIANE";"120GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8002749700755";"20.65";"11";"1.88";"3";"1685.63";"480";"3.51";"61";"-98.7749387469374";"-46.5427816845388";"VENEZIA  NOBIO OVE UNI BOUQUET PASQUALE LATTE LATTE NON RIPIENI BOUQUET 1 00120.0 GR";"VENEZIA DOLCERIE VENEZIANE NOBIO OVE UNI BOUQUET PASQUALE LATTE LATTE NON RIPIENI BOUQUET 1 00120.0 GR";"GR";"120";"GR|120";0.999999967265322
"B";"4427";"12817307";"2020";"5";"01020501";"01.1.8.3.0.00";"VENEZIA DOLCERIE VENEZIANE NOBIO OVE UNI BOUQUET PASQUALE LATTE LATTE NON RIPIENI BOUQUET 1 00150.0 GR";"DOLCERIE VENEZIANE";"150GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8002749560632";"328.01";"58";"5.66";"12";"13231.59";"1857";"7.13";"275";"-97.5210084351163";"-20.6295286898431";"VENEZIA  NOBIO OVE UNI BOUQUET PASQUALE LATTE LATTE NON RIPIENI BOUQUET 1 00150.0 GR";"VENEZIA DOLCERIE VENEZIANE NOBIO OVE UNI BOUQUET PASQUALE LATTE LATTE NON RIPIENI BOUQUET 1 00150.0 GR";"GR";"150";"GR|150";0.999999967265322
"A";"156";"25530651";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00250.0 GR";"WITOR'S";"250GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535052294";"2098.75";"1693";"1.24";"226";"15095.05";"8250";"1.83";"577";"-86.0964355865002";"-32.2478402768026";"  NOBIO OVE UNI MAXI OVETTI CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00250.0 GR";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00250.0 GR";"GR";"250";"GR|250";0.999999440203415
"B";"19437";"25529700";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA CARAMELLO LATTE RIPIENI BUS 1 00250.0 GR";"WITOR'S";"250GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535052416";"625.39";"536";"1.17";"70";"2466.39";"1499";"1.65";"158";"-74.6435073123067";"-29.0869728752755";"  NOBIO OVE UNI MAXI OVETTI CREMA CARAMELLO LATTE RIPIENI BUS 1 00250.0 GR";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA CARAMELLO LATTE RIPIENI BUS 1 00250.0 GR";"GR";"250";"GR|250";0.999999440203415
"A";"30";"42363064";"2020";"5";"01020501";"01.1.8.3.0.00";"ICAM ICAM NOBIO OVE UNI JUVENTUS CREMA NOC LATTE RIPIENI SAC 1 00130.0 GR";"ICAM";"130GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8006070087110";"3115.02";"2936";"1.06";"384";"10622.51";"6820";"1.56";"637";"-70.6752923744012";"-31.8819802429891";"  NOBIO OVE UNI JUVENTUS CREMA NOC LATTE RIPIENI SAC 1 00130.0 GR";"ICAM ICAM NOBIO OVE UNI JUVENTUS CREMA NOC LATTE RIPIENI SAC 1 00130.0 GR";"GR";"130";"GR|130";0.999998754489172
"B";"142345";"42364103";"2020";"5";"01020501";"01.1.8.3.0.00";"ICAM ICAM NOBIO OVE UNI INTER CREMA NOC LATTE RIPIENI SAC 1 00130.0 GR";"ICAM";"130GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8006070087134";"1861.13";"1685";"1.1";"318";"6285.43";"4120";"1.53";"559";"-70.389774446617";"-27.5999232760013";"  NOBIO OVE UNI INTER CREMA NOC LATTE RIPIENI SAC 1 00130.0 GR";"ICAM ICAM NOBIO OVE UNI INTER CREMA NOC LATTE RIPIENI SAC 1 00130.0 GR";"GR";"130";"GR|130";0.999998754489172
"A";"79";"25614971";"2020";"5";"01020501";"01.1.8.3.0.00";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 00150.0 GR";"CRISPO";"150GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8005085714738";"131.68";"232";"0.57";"29";"882.8";"969";"0.91";"71";"-85.0838241957408";"-37.6992484727278";"CONFETTI   NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 00150.0 GR";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 00150.0 GR";"GR";"150";"GR|150";0.999993582389121
"B";"19702";"25601880";"2020";"5";"01020501";"01.1.8.3.0.00";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 00130.0 GR";"CRISPO";"130GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8005085714745";"195.48";"308";"0.63";"52";"1446.94";"1731";"0.84";"144";"-86.4901101635175";"-24.0726645878207";"CONFETTI   NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 00130.0 GR";"CONFETTI CRISPO CRISPO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 00130.0 GR";"GR";"130";"GR|130";0.999993582389121
"A";"16";"26443480";"2020";"5";"01020501";"01.1.8.3.0.00";"ROVELLI ROVELLI NOBIO OVE UNI PERLA BIANCA CREMA LATTE LATTE RIPIENI BOUQUET 1 00138.0 GR";"ROVELLI";"138GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8004333008353";"94.64";"156";"0.61";"14";"719.06";"432";"1.66";"41";"-86.838372319417";"-63.5524156537702";"  NOBIO OVE UNI PERLA BIANCA CREMA LATTE LATTE RIPIENI BOUQUET 1 00138.0 GR";"ROVELLI ROVELLI NOBIO OVE UNI PERLA BIANCA CREMA LATTE LATTE RIPIENI BOUQUET 1 00138.0 GR";"GR";"138";"GR|138";0.999933073330589
"B";"126643";"23948202";"2020";"5";"01020501";"01.1.8.3.0.00";"ROVELLI ROVELLI NOBIO OVE UNI PERLA BIANCA CREMA LATTE LATTE RIPIENI BUS 1 00130.0 GR";"ROVELLI";"130GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8004333009466";"287.99";"468";"0.62";"32";"502.25";"660";"0.76";"59";"-42.6600298656048";"-19.135939554058";"  NOBIO OVE UNI PERLA BIANCA CREMA LATTE LATTE RIPIENI BUS 1 00130.0 GR";"ROVELLI ROVELLI NOBIO OVE UNI PERLA BIANCA CREMA LATTE LATTE RIPIENI BUS 1 00130.0 GR";"GR";"130";"GR|130";0.999933073330589
"A";"174";"42716073";"2020";"5";"01020501";"01.1.8.3.0.00";"ROVELLI ROVELLI NOBIO OVE UNI CHOCOFIOCK CREMA NOC LATTE RIPIENI BUS 1 00360.0 GR";"ROVELLI";"360GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8004333010509";"519.86";"523";"0.99";"29";"1936.39";"1030";"1.88";"58";"-73.1531354737424";"-47.1275899387278";"  NOBIO OVE UNI CHOCOFIOCK CREMA NOC LATTE RIPIENI BUS 1 00360.0 GR";"ROVELLI ROVELLI NOBIO OVE UNI CHOCOFIOCK CREMA NOC LATTE RIPIENI BUS 1 00360.0 GR";"GR";"360";"GR|360";0.999926859196125
"B";"70704";"23912582";"2020";"5";"01020501";"01.1.8.3.0.00";"ROVELLI ROVELLI NOBIO OVE UNI CHOCOFIOCK CREMA NOC LATTE RIPIENI BUS 1 00300.0 GR";"ROVELLI";"300GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8004333010479";"40.5";"34";"1.19";"6";"67.7";"40";"1.69";"9";"-40.1772525849335";"-29.6202971587453";"  NOBIO OVE UNI CHOCOFIOCK CREMA NOC LATTE RIPIENI BUS 1 00300.0 GR";"ROVELLI ROVELLI NOBIO OVE UNI CHOCOFIOCK CREMA NOC LATTE RIPIENI BUS 1 00300.0 GR";"GR";"300";"GR|300";0.999926859196125
"A";"191";"52624229";"2020";"5";"01020501";"01.1.8.3.0.00";"SORINI SORINI NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI CESTINO FELTRO 1 00100.0 GR";"SORINI";"100GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8006423132009";"73.56";"33";"2.23";"11";"772.61";"209";"3.7";"39";"-90.4790256403619";"-39.700495722292";"  NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI CESTINO FELTRO 1 00100.0 GR";"SORINI SORINI NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI CESTINO FELTRO 1 00100.0 GR";"GR";"100";"GR|100";0.999901076529625
"B";"1758";"1096495";"2020";"5";"01020501";"01.1.8.3.0.00";"SORINI SORINI NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI RETE 1 00100.0 GR";"SORINI";"100GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8006423242982";"72.7";"69";"1.05";"21";"327.73";"279";"1.17";"37";"-77.817105544198";"-10.3039485048005";"  NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI RETE 1 00100.0 GR";"SORINI SORINI NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI RETE 1 00100.0 GR";"GR";"100";"GR|100";0.999901076529625
"A";"1";"1096502";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MINI CREMA LATTE LATTE RIPIENI SAC 1 01000.0 GR";"WITOR'S";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535007249";"2625.97";"1121";"2.34";"109";"10541.79";"2522";"4.18";"242";"-75.0899040864976";"-43.9578395237708";"  NOBIO OVE UNI MINI CREMA LATTE LATTE RIPIENI SAC 1 01000.0 GR";"WITOR'S WITOR'S NOBIO OVE UNI MINI CREMA LATTE LATTE RIPIENI SAC 1 01000.0 GR";"GR";"1000";"GR|1000";0.99929433971077
"B";"61508";"14070687";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 01000.0 GR";"WITOR'S";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535027933";"3476.02";"1001";"3.47";"123";"18405.57";"4172";"4.41";"381";"-81.1143039851523";"-21.2875886374181";"  NOBIO OVE UNI MAXI OVETTI CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 01000.0 GR";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 01000.0 GR";"GR";"1000";"GR|1000";0.99929433971077
"A";"183";"49887363";"2020";"5";"01020501";"01.1.8.3.0.00";"COLUSSI LA SUISSA NOBIO OVE UNI STD CREMA NOCCIOLA LATTE RIPIENI INCAR 1 00350.0 GR FARFALLA";"LA SUISSA";"350GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8008429239386";"13";"13";"1";"1";"108.24";"47";"2.3";"6";"-87.989652623799";"-56.5779748706578";"COLUSSI  NOBIO OVE UNI STD CREMA NOCCIOLA LATTE RIPIENI INCAR 1 00350.0 GR FARFALLA";"COLUSSI LA SUISSA NOBIO OVE UNI STD CREMA NOCCIOLA LATTE RIPIENI INCAR 1 00350.0 GR FARFALLA";"GR";"350";"GR|350";0.997450126550459
